keyword,language,country_focus,city_relevance,search_volume,seasonality,cpc,competition,keyword_difficulty,serp_composition,intent,funnel_stage,business_value,current_rank,existing_target_url,best_competitor,competitor_rank,suggested_url,content_type,local_pack_presence,ai_result_presence,priority,confidence,evidence_source
third party liability rental car georgia limit,en,GE,National,UNMEASURED - no keyword tool available,Flat,UNMEASURED - no keyword tool available,Very low,UNMEASURED - no keyword tool available,"Forum, unanswered",Informational,Consideration,MEDIUM,UNKNOWN - no rank data (no GSC),none,none - question went unanswered,UNKNOWN - no rank data (no GSC),/trust/what-our-insurance-covers/,FAQ,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P2,HIGH,[CUSTOMER] Johanna v could not get a straight answer from anyone
what to check when picking up rental car georgia,en,GE,National,UNMEASURED - no keyword tool available,Flat,UNMEASURED - no keyword tool available,Low,UNMEASURED - no keyword tool available,Blogs,Informational,Post-booking,MEDIUM,UNKNOWN - no rank data (no GSC),none,wander-lush.org,UNKNOWN - no rank data (no GSC),/trust/deposit-policy/,Handover protocol section,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P2,HIGH,[CUSTOMER] 'Always record a video when you pick up the car' - most repeated advice
do i need a 4x4 in georgia country,en,GE,National,UNMEASURED - no keyword tool available,Winter-weighted,UNMEASURED - no keyword tool available,MEDIUM - already claimed,UNMEASURED - no keyword tool available,"Forums (TripAdvisor, Quora, Facebook) + og.ge operator blog",Informational,Awareness,MEDIUM,UNKNOWN - no rank data (no GSC),none,"og.ge/blog/jeep-vs-sedan (rental operator, live prices + CTAs)",UNKNOWN - no rank data (no GSC),/guides/do-you-need-a-4x4-in-georgia/,Honest tiered guide,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P2,HIGH,[OBSERVED] REFUTED as an open gap - og.ge and fill.ge already occupy it
4x4 car rental tbilisi,en,GE,Tbilisi,UNMEASURED - no keyword tool available,Jun-Oct + winter,UNMEASURED - no keyword tool available,MEDIUM,UNMEASURED - no keyword tool available,Small independents + one EMD + Sixt + Kayak programmatic,Transactional,Decision,HIGH,UNKNOWN - no rank data (no GSC),none,"4x4carrental.ge (EMD, lorem ipsum on page, no prices)",UNKNOWN - no rank data (no GSC),/fleet/4x4-suv/,Category page,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P1,HIGH,[OBSERVED] Localrent has NO 4x4/SUV page for Georgia at all (own sitemap)
suv rental georgia country,en,GE,National,UNMEASURED - no keyword tool available,Summer,UNMEASURED - no keyword tool available,MEDIUM,UNMEASURED - no keyword tool available,"Mixed: fill.ge, rentcarsgeorgia, Kayak, carngo",Transactional,Decision,MEDIUM-HIGH,UNKNOWN - no rank data (no GSC),none,"fstarentcar.com (15 vehicles, prices, near-identical fleet)",UNKNOWN - no rank data (no GSC),/fleet/4x4-suv/,Category page,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P2,HIGH,[OBSERVED] Kayak Tbilisi-4x4 page quotes $27 - BELOW Geolander's floor
high clearance car georgia mountains rental,en,GE,National,UNMEASURED - no keyword tool available,Summer,UNMEASURED - no keyword tool available,Low,UNMEASURED - no keyword tool available,Forums + operator blogs,Commercial investigation,Consideration,MEDIUM,UNKNOWN - no rank data (no GSC),none,starcar.ge,UNKNOWN - no rank data (no GSC),/guides/do-you-need-a-4x4-in-georgia/,Guide section,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P2,HIGH,"[CUSTOMER] travellers converge on CLEARANCE, not on '4x4'"
rent 4x4 kazbegi,en,GE,Kazbegi/Stepantsminda,UNMEASURED - no keyword tool available,"Year-round, winter peak",UNMEASURED - no keyword tool available,Low-medium,UNMEASURED - no keyword tool available,Genuine operator pages (carrentdeme) + forums,Transactional,Decision,HIGH,UNKNOWN - no rank data (no GSC),none,carrentdeme.com/car-rental-kazbegi/ (~3000 words),UNKNOWN - no rank data (no GSC),/car-rental-kazbegi/,City + route landing,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P1,HIGH,"[OBSERVED] Localrent's /en/georgia/stepantsminda/ page is BLANK - zero cars, zero prices"
driving to kazbegi in winter,en,GE,Kazbegi,UNMEASURED - no keyword tool available,Nov-Mar,UNMEASURED - no keyword tool available,Low,UNMEASURED - no keyword tool available,Blogs + operator guides,Informational,Planning,MEDIUM,UNKNOWN - no rank data (no GSC),/driving-to-kazbegi-in-winter/,starcar.ge blog,UNKNOWN - no rank data (no GSC),/driving-to-kazbegi-in-winter/,Guide - deepen with first-hand detail,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P2,HIGH,"[OBSERVED] existing page lacks dated road reports, prices, checkpoint specifics"
car rental for tusheti,en,GE,Tusheti,UNMEASURED - no keyword tool available,Jun-Oct,UNMEASURED - no keyword tool available,Low,UNMEASURED - no keyword tool available,Forums + overlanding sites,Transactional,Decision,HIGH,UNKNOWN - no rank data (no GSC),/tusheti-4x4-rental-guide/,ountravela.com operator list,UNKNOWN - no rank data (no GSC),/where-you-can-drive/tusheti/,Merge guide into permission page,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P1,MEDIUM,[OBSERVED] Tusheti NP has 70 TripAdvisor reviews vs Gergeti's 1283 - small segment
when does abano pass open,en,GE,Tusheti,UNMEASURED - no keyword tool available,Apr-Jun spike,UNMEASURED - no keyword tool available,Very low,UNMEASURED - no keyword tool available,"Blogs, none authoritative or dated",Informational,Planning,MEDIUM,UNKNOWN - no rank data (no GSC),none,mygeorgiastay.com / ountravela,UNKNOWN - no rank data (no GSC),/guides/mountain-road-opening-calendar/,Dated calendar - LINKABLE ASSET,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P1,HIGH,[CUSTOMER] Maia_Odisharia says 'open only two months' and never says which two
car rental tbilisi,en,GE,Tbilisi,UNMEASURED - no keyword tool available,Summer peak,UNMEASURED - no keyword tool available,VERY HIGH,UNMEASURED - no keyword tool available,"Sixt, Europcar, Enterprise, Skyscanner, Expedia + geodrive.info",Transactional,Decision,HIGH,UNKNOWN - no rank data (no GSC),/car-rental-tbilisi/,Sixt / OTA bloc,UNKNOWN - no rank data (no GSC),/car-rental-tbilisi/,Existing city page - KEEP,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P3 (do not chase),HIGH,"[OBSERVED] 'rent a car tbilisi' returned 7 results, ZERO Georgian operators"
tbilisi airport car rental,en,GE,TBS,UNMEASURED - no keyword tool available,Summer peak,UNMEASURED - no keyword tool available,VERY HIGH,UNMEASURED - no keyword tool available,6 OTA/chain to 1 local,Transactional,Decision,HIGH,UNKNOWN - no rank data (no GSC),none,"rentcarsgeorgia.com/tbilisi-airport-car-rental/ (~2200 words, FAQ, price table)",UNKNOWN - no rank data (no GSC),/trust/airport-pickup/,Arrival protocol + intent page,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P2,HIGH,[OBSERVED] an independent DOES hold a slot here - not unwinnable
car rental batumi,en,GE,Batumi,UNMEASURED - no keyword tool available,Jun-Sep sharp,UNMEASURED - no keyword tool available,HIGH,UNMEASURED - no keyword tool available,OTA-heavy,Transactional,Decision,MEDIUM,UNKNOWN - no rank data (no GSC),/car-rental-batumi/,OTA bloc,UNKNOWN - no rank data (no GSC),/car-rental-batumi/,Existing city page - KEEP,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P3,MEDIUM,"[OBSERVED] existing page ~1100 words, genuinely local"
car rental kutaisi airport,en,GE,KUT,UNMEASURED - no keyword tool available,Summer,UNMEASURED - no keyword tool available,HIGH,UNMEASURED - no keyword tool available,OTA-heavy,Transactional,Decision,MEDIUM,UNKNOWN - no rank data (no GSC),/car-rental-kutaisi/,OTA bloc,UNKNOWN - no rank data (no GSC),/car-rental-kutaisi/,Existing city page - KEEP,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P3,LOW,[UNVERIFIED] page not fetched
is it safe to drive in georgia country,en,GE,National,UNMEASURED - no keyword tool available,Flat,UNMEASURED - no keyword tool available,Low-medium,UNMEASURED - no keyword tool available,Blogs + forums,Informational,Awareness,MEDIUM (funnel entry),UNKNOWN - no rank data (no GSC),none,wander-lush.org,UNKNOWN - no rank data (no GSC),/guides/driving-in-georgia/,Honest reality guide,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P2,HIGH,"[OBSERVED] NOT ONE traveller raised crime - fear is drivers, cows, cliffs"
rent a car or hire a driver in georgia,en,GE,National,UNMEASURED - no keyword tool available,Flat,UNMEASURED - no keyword tool available,Low,UNMEASURED - no keyword tool available,Forums + tour operators actively pushing drivers,Commercial investigation,Awareness,HIGH,UNKNOWN - no rank data (no GSC),none,GoTrip + forum tour operators,UNKNOWN - no rank data (no GSC),/guides/rent-a-car-or-hire-a-driver/,Even-handed comparison,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P2,HIGH,[OBSERVED] 'hire a driver' is the recommended answer in 4 of 14 threads - organised competition
rental car georgia to armenia allowed,en,GE,Cross-border,UNMEASURED - no keyword tool available,Flat,UNMEASURED - no keyword tool available,Very low,UNMEASURED - no keyword tool available,Forums; travellers pushed to Avis/Hertz,Transactional,Decision,HIGH,UNKNOWN - no rank data (no GSC),none,international brands,UNKNOWN - no rank data (no GSC),/guides/driving-to-armenia/,Process guide,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P2,HIGH,[OBSERVED] /terms/ Sec.6 already permits it with 48h notice - capability buried
drive rental car tbilisi to yerevan,en,AM/GE,Cross-border,UNMEASURED - no keyword tool available,Flat,UNMEASURED - no keyword tool available,Very low,UNMEASURED - no keyword tool available,Forums,Transactional,Decision,MEDIUM,UNKNOWN - no rank data (no GSC),none,Avis Tbilisi,UNKNOWN - no rank data (no GSC),/guides/driving-to-armenia/,Process guide,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P3,MEDIUM,[CUSTOMER] Niclas C documented the full process unprompted
winter tires georgia country mandatory rental,en,GE,National,UNMEASURED - no keyword tool available,Nov-Mar,UNMEASURED - no keyword tool available,Very low,UNMEASURED - no keyword tool available,Blogs,Informational,Planning,MEDIUM,UNKNOWN - no rank data (no GSC),none,wander-lush.org,UNKNOWN - no rank data (no GSC),/guides/driving-in-georgia-in-winter/,Guide,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P2,HIGH,[OBSERVED] winter tyres mandatory Dec 1 - Mar 1 on mountain roads
gudauri ski trip rental car 4x4,en,GE,Gudauri,UNMEASURED - no keyword tool available,Dec-Mar,UNMEASURED - no keyword tool available,Low,UNMEASURED - no keyword tool available,Mixed,Transactional,Decision,MEDIUM,UNKNOWN - no rank data (no GSC),none,various,UNKNOWN - no rank data (no GSC),/guides/driving-in-georgia-in-winter/,Guide + CTA,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P3,MEDIUM,[INFERENCE] winter is the one season where 4x4 necessity is unambiguous
rent subaru forester tbilisi,en,GE,Tbilisi,UNMEASURED - no keyword tool available,Flat,UNMEASURED - no keyword tool available,Low,UNMEASURED - no keyword tool available,"Operator model pages exist (georentcar RU, rent2go RU)",Transactional,Decision,LOW-MEDIUM,UNKNOWN - no rank data (no GSC),/fleet/{forester}/,georentcar.ge/ru per-model pages,UNKNOWN - no rank data (no GSC),/fleet/{vehicle}/,"Conversion page, not ranking page",NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P3,MEDIUM,[INFERENCE] per-model demand is negligible; pages exist to convert and to prove condition
car rental georgia old cars reviews,en,GE,National,UNMEASURED - no keyword tool available,Flat,UNMEASURED - no keyword tool available,Low,UNMEASURED - no keyword tool available,Review aggregators,Informational,Consideration,MEDIUM,UNKNOWN - no rank data (no GSC),none,TakeCars/DiscoverCars review sets,UNKNOWN - no rank data (no GSC),/fleet/{vehicle}/,Per-unit honesty data,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P1,HIGH,[OBSERVED] 107 condition complaints vs 13 deposit disputes in one 1453-review set (8:1)
geolander car rental,en,GE,Tbilisi,UNMEASURED - no keyword tool available,Flat,UNMEASURED - no keyword tool available,n/a,UNMEASURED - no keyword tool available,Yokohama GEOLANDAR tyre content + unrelated competitors,Navigational,Decision,HIGH,UNKNOWN - no rank data (no GSC),/,Yokohama GEOLANDAR (global tyre brand),UNKNOWN - no rank data (no GSC),/,"Entity disambiguation, not content",NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P1,HIGH,[OBSERVED] quoted search for 'geo-lander.com' returns Wikipedia landform articles
geolander tbilisi,en,GE,Tbilisi,UNMEASURED - no keyword tool available,Flat,UNMEASURED - no keyword tool available,n/a,UNMEASURED - no keyword tool available,Unknown,Navigational,Decision,HIGH,UNKNOWN - no rank data (no GSC),/,Yokohama collision,UNKNOWN - no rank data (no GSC),/,GBP + sameAs + NAP,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P1,HIGH,[INFERENCE] compound brand phrases are the only winnable brand queries
аренда авто тбилиси без залога,ru,GE,Tbilisi,UNMEASURED - no keyword tool available,Summer,UNMEASURED - no keyword tool available,VERY HIGH - densely served,UNMEASURED - no keyword tool available,Dedicated .ru domains + every operator's /ru/ locale + affiliate listicles,Transactional,Decision,MEDIUM,UNKNOWN - no rank data (no GSC),none,localrent.com/ru + autotbilisi.ru + rentacar-tbilisi.ru,UNKNOWN - no rank data (no GSC),/ru/ (fix loop first),Conversion support only,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P3,HIGH,[OBSERVED] REFUTED as under-served (high confidence) - most densely served layer
запрещенные маршруты аренда авто грузия,ru,GE,National,UNMEASURED - no keyword tool available,Summer,UNMEASURED - no keyword tool available,Already owned,UNMEASURED - no keyword tool available,Dedicated competitor URL exists,Commercial investigation,Consideration,LOW (taken),UNKNOWN - no rank data (no GSC),none,georentcar.ge/ru/turistam/zapreschennye-marshruty.html,UNKNOWN - no rank data (no GSC),none - do not build,n/a,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,DO NOT BUILD,HIGH,"[OBSERVED] the permission wedge is ALREADY OWNED in Russian, with insurance consequences stated"
аренда внедорожника грузия,ru,GE,National,UNMEASURED - no keyword tool available,Summer,UNMEASURED - no keyword tool available,HIGH,UNMEASURED - no keyword tool available,"8 local operators, no OTA above them",Transactional,Decision,MEDIUM,UNKNOWN - no rank data (no GSC),none,carrental-georgia.com (~4500-word RU jeep guide),UNKNOWN - no rank data (no GSC),/ru/fleet/4x4-suv/,Only after EN proof layer exists,NOT OBSERVED - US-locale tool shows no local pack,NOT OBSERVED - tool returns organic links only,P3,HIGH,"[OBSERVED] RU SERPs are not OTA-locked - structurally open, but crowded with locals"
